PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Delivery_Status,Negotiation_Savings,Total_Cost,Defect_Rate,Delivery_Time,Compliance_Status
PO-00001,Alpha_Inc,2023-10-17,2023-10-25,Office Supplies,Cancelled,1176,20.13,17.81,0.0,Yes,Delivered,2.3200000000000003,20944.559999999998,0.0,8.0,Compliant
PO-00002,Delta_Logistics,2022-04-25,2022-05-05,Office Supplies,Delivered,1509,39.32,37.34,235.0,Yes,Delivered,1.9799999999999969,56346.060000000005,0.15573227302849568,10.0,Compliant
PO-00003,Gamma_Co,2022-01-26,2022-02-15,MRO,Delivered,910,95.51,92.26,41.0,Yes,Delivered,3.25,83956.6,0.045054945054945054,20.0,Compliant
PO-00004,Beta_Supplies,2022-10-09,2022-10-28,Packaging,Delivered,1344,99.85,95.52,112.0,Yes,Delivered,4.329999999999998,128378.87999999999,0.08333333333333333,19.0,Compliant
PO-00005,Delta_Logistics,2022-09-08,2022-09-20,Raw Materials,Delivered,1180,64.07,60.53,171.0,No,Delivered,3.539999999999992,71425.4,0.14491525423728813,12.0,Non-Compliant
PO-00006,Epsilon_Group,2022-08-17,2022-08-29,MRO,Delivered,1145,69.21,63.57,39.0,Yes,Delivered,5.6399999999999935,72787.65,0.03406113537117904,12.0,Compliant
PO-00007,Gamma_Co,2022-05-23,2022-06-03,MRO,Delivered,1774,51.37,47.82,96.0,No,Delivered,3.549999999999997,84832.68000000001,0.05411499436302142,11.0,Non-Compliant
PO-00008,Alpha_Inc,2022-04-15,2022-04-29,MRO,Delivered,1094,36.93,32.78,22.0,Yes,Delivered,4.149999999999999,35861.32,0.02010968921389397,14.0,Compliant
PO-00009,Gamma_Co,2023-11-24,2023-11-28,Raw Materials,Partially Delivered,1688,43.93,39.89,89.0,Yes,Delivered,4.039999999999999,67334.32,0.052725118483412325,4.0,Compliant
PO-00010,Gamma_Co,2023-07-13,2023-07-25,Raw Materials,Pending,171,76.87,70.2,8.0,Yes,Delivered,6.670000000000002,12004.2,0.04678362573099415,12.0,Compliant
PO-00011,Epsilon_Group,2022-03-31,2022-04-15,Raw Materials,Delivered,5000,78.49,73.68,18.0,Yes,Delivered,4.809999999999988,368400.00000000006,0.0036,15.0,Compliant
PO-00012,Beta_Supplies,2023-08-28,2023-09-11,Raw Materials,Delivered,5000,88.96,86.58,115.0,Yes,Delivered,2.3799999999999955,432900.0,0.023,14.0,Compliant
PO-00013,Beta_Supplies,2023-03-09,2023-03-26,Electronics,Pending,5000,86.74,74.86,51.0,Yes,Delivered,11.879999999999995,374300.0,0.0102,17.0,Compliant
PO-00014,Beta_Supplies,2022-02-02,,MRO,Delivered,5000,18.3,16.88,0.0,Yes,Not Delivered,1.4200000000000017,84400.0,0.0,,Compliant
PO-00015,Delta_Logistics,2022-01-31,2022-02-18,Electronics,Pending,5000,54.5,48.45,22.0,Yes,Delivered,6.049999999999997,242250.0,0.0044,18.0,Compliant
PO-00016,Beta_Supplies,2022-04-06,2022-04-21,Packaging,Delivered,5000,15.41,15.12,0.0,Yes,Delivered,0.2900000000000009,75600.0,0.0,15.0,Compliant
PO-00017,Delta_Logistics,2022-08-12,2022-08-31,MRO,Delivered,1173,61.54,55.49,172.0,No,Delivered,6.049999999999997,65089.770000000004,0.1466325660699062,19.0,Non-Compliant
PO-00018,Epsilon_Group,2022-08-27,2022-09-04,Raw Materials,Delivered,921,51.48,50.61,0.0,Yes,Delivered,0.8699999999999974,46611.81,0.0,8.0,Compliant
PO-00019,Gamma_Co,2023-06-02,2023-06-05,Raw Materials,Partially Delivered,1737,97.53,87.37,79.0,Yes,Delivered,10.159999999999997,151761.69,0.04548071387449626,3.0,Compliant
PO-00020,Delta_Logistics,2023-09-09,2023-09-24,Raw Materials,Delivered,180,45.74,38.89,0.0,No,Delivered,6.850000000000001,7000.2,0.0,15.0,Non-Compliant
PO-00021,Epsilon_Group,2022-01-28,2022-02-12,Electronics,Cancelled,1735,20.54,19.69,49.0,Yes,Delivered,0.8499999999999979,34162.15,0.02824207492795389,15.0,Compliant
PO-00022,Delta_Logistics,2023-07-29,2023-08-11,Raw Materials,Delivered,1382,24.93,23.75,0.0,Yes,Delivered,1.1799999999999997,32822.5,0.0,13.0,Compliant
PO-00023,Epsilon_Group,2022-07-23,2022-08-08,MRO,Delivered,819,80.89,77.03,29.0,Yes,Delivered,3.8599999999999994,63087.57,0.03540903540903541,16.0,Compliant
PO-00024,Beta_Supplies,2023-10-28,2023-11-03,Office Supplies,Partially Delivered,393,72.53,66.31,42.0,No,Delivered,6.219999999999999,26059.83,0.10687022900763359,6.0,Non-Compliant
